,x,y,type,weight
432,549,872,endpt,3.0
434,550,1408,junction,9.055386
435,551,1352,endpt,5.0
437,552,1399,junction,7.0
439,553,1160,endpt,3.6055512
444,554,1425,junction,11.401754
445,554,1659,endpt,3.1622777
446,555,1450,junction,11.0
450,557,1240,endpt,1.0
451,557,1505,endpt,11.7046995
452,561,1541,endpt,6.0
453,562,1269,endpt,3.0
454,563,1382,junction,8.0
457,565,1447,junction,16.643316
459,566,990,endpt,3.0
460,566,1262,endpt,1.0
461,566,1267,junction,3.0
463,569,1232,endpt,1.0
464,569,1270,endpt,1.0
465,569,1366,endpt,4.1231055
466,572,1451,junction,14.142136
467,575,1264,endpt,4.0
468,575,1338,endpt,3.0
470,577,1377,endpt,4.0
471,577,1462,junction,9.848858
472,578,1340,endpt,5.0
473,580,1563,endpt,7.0
474,585,1221,endpt,2.828427
475,587,1331,endpt,2.236068
476,588,1304,endpt,8.0
477,589,1252,endpt,3.6055512
478,590,1404,endpt,2.828427
481,593,1258,endpt,5.0
482,593,1404,endpt,2.828427
483,593,1722,endpt,3.0
485,594,1417,endpt,7.0
487,595,1380,endpt,3.1622777
489,600,1283,endpt,4.1231055
490,602,1447,junction,11.18034
491,605,1473,junction,10.049875
494,607,1282,endpt,4.1231055
495,608,1388,endpt,2.0
497,612,1251,endpt,4.472136
498,618,1420,endpt,2.236068
499,623,1536,endpt,6.3245554
500,627,1540,endpt,4.0
501,628,1588,endpt,5.8309517
502,631,1609,endpt,6.0
503,644,1464,endpt,5.0
504,644,1497,junction,22.203604
505,644,1677,endpt,3.0
508,652,1266,endpt,3.6055512
509,652,1295,endpt,2.828427
510,652,1492,junction,20.22375
511,653,1270,endpt,2.236068
515,658,1530,endpt,10.0
516,665,1449,endpt,5.0
517,669,1636,endpt,4.472136
518,677,1506,endpt,1.0
519,684,1461,endpt,2.0
520,685,1531,endpt,1.0
521,686,1682,endpt,3.6055512
523,690,1532,endpt,2.0
524,692,1482,junction,5.0
525,692,1739,endpt,3.1622777
526,699,798,endpt,2.828427
527,699,1509,junction,10.0
529,700,1531,endpt,4.472136
530,700,1581,endpt,8.0
531,702,1474,endpt,2.0
532,707,1452,endpt,2.0
533,707,1458,endpt,1.4142135
534,707,1519,junction,11.7046995
540,724,1474,junction,11.7046995
542,727,1525,junction,16.0
543,729,1581,junction,7.0
546,736,1717,endpt,3.1622777
548,738,1459,endpt,6.0
549,739,1592,endpt,3.6055512
550,740,1429,endpt,1.0
551,743,1676,endpt,5.0
552,745,1428,endpt,1.4142135
553,746,1474,endpt,1.0
554,746,1667,endpt,6.0827627
558,749,1573,endpt,5.8309517
559,752,1454,endpt,2.828427
560,752,1490,endpt,1.0
561,753,1443,endpt,3.1622777
562,761,1393,endpt,4.0
563,765,1475,endpt,4.1231055
564,768,1402,endpt,3.0
565,768,1663,endpt,6.708204
566,772,1523,junction,17.720045
569,780,1509,junction,18.027756
572,797,1473,endpt,3.6055512
573,800,1359,endpt,2.828427
574,802,1362,endpt,2.236068
575,807,1552,junction,16.763054
576,808,1508,junction,17.0
579,810,1352,endpt,3.1622777
580,810,1408,endpt,3.6055512
581,815,1379,endpt,3.1622777
582,815,1431,junction,3.6055512
583,815,1710,endpt,5.3851647
584,816,1706,endpt,4.1231055
587,824,1517,junction,14.142136
590,825,1486,junction,13.0
592,825,1549,junction,18.0
596,826,1431,junction,4.472136
600,827,1441,endpt,2.0
601,827,1623,endpt,8.0
602,833,1550,junction,17.720045
605,836,1430,endpt,2.0
606,839,1371,endpt,2.0
607,839,1515,junction,12.165525
608,839,1567,junction,10.049875
610,840,1471,junction,7.81025
612,840,1501,junction,12.0
615,854,1544,junction,12.0
616,855,1537,junction,12.083046
617,863,1351,endpt,3.1622777
618,864,1483,junction,15.0
620,864,1565,endpt,1.0
621,864,1584,endpt,7.0
623,870,1481,junction,18.027756
624,877,1459,junction,10.770329
625,880,1647,endpt,5.0
626,881,1377,endpt,4.1231055
627,881,1544,junction,10.0
629,883,1532,junction,15.6205
630,884,1391,endpt,4.0
632,885,1409,endpt,2.0
634,887,1528,junction,14.866069
635,888,1493,junction,9.486833
636,888,1592,endpt,7.81025
637,891,1295,endpt,4.0
638,893,1439,endpt,5.0
639,896,1440,junction,6.4031243
642,898,1586,endpt,7.28011
643,901,1302,endpt,2.0
645,906,1372,endpt,2.0
646,906,1378,endpt,2.828427
647,907,1375,junction,2.828427
648,907,1425,endpt,3.0
649,908,1528,junction,12.0
652,910,1685,endpt,5.0990195
653,911,1513,endpt,2.236068
654,912,1375,endpt,1.4142135
655,912,1524,junction,10.29563
658,914,1318,endpt,2.0
660,916,1349,endpt,3.1622777
661,916,1383,endpt,2.0
662,918,1337,endpt,3.1622777
663,918,1572,endpt,8.062258
664,921,1268,endpt,4.0
665,923,1753,endpt,3.0
666,924,1269,endpt,4.0
667,924,1756,endpt,3.0
668,928,1401,endpt,5.0
669,929,1421,endpt,3.1622777
670,933,1578,junction,12.0
671,944,1360,endpt,2.828427
672,946,1591,endpt,7.0
673,947,1479,junction,16.155495
674,953,1546,junction,12.529964
675,957,1275,endpt,1.0
676,959,1387,endpt,5.0
677,961,1509,junction,13.341664
680,964,1334,endpt,3.1622777
681,965,1248,endpt,3.0
682,968,1343,endpt,2.828427
683,969,1278,endpt,2.0
684,970,1301,endpt,3.0
685,970,1514,junction,18.110771
686,971,1425,endpt,7.071068
688,972,1172,endpt,2.0
689,972,1252,endpt,1.0
690,976,1686,endpt,3.0
691,977,1379,endpt,2.0
692,977,1425,junction,8.0
695,980,1586,endpt,5.8309517
697,986,1303,endpt,4.0
698,989,1382,junction,8.0
699,991,1561,endpt,2.0
700,995,965,endpt,2.236068
701,995,1551,endpt,6.0827627
702,998,1443,junction,12.0
703,999,953,endpt,3.0
704,999,1171,endpt,3.1622777
705,1000,1258,endpt,2.0
706,1000,1313,endpt,2.0
708,1009,1381,junction,7.0
709,1013,1220,endpt,5.0
710,1015,1322,endpt,6.708204
712,1019,1390,endpt,3.0
713,1020,1372,endpt,2.0
714,1022,1607,endpt,2.0
715,1023,1550,endpt,4.0
716,1024,1356,endpt,5.0
718,1026,1163,endpt,4.0
719,1027,1547,endpt,4.0
720,1028,1381,endpt,1.0
721,1029,1515,endpt,6.3245554
722,1031,1195,endpt,5.0990195
723,1031,1285,endpt,4.472136
724,1033,503,endpt,3.0
726,1033,1029,endpt,2.236068
727,1033,1173,endpt,3.1622777
729,1035,1325,endpt,2.236068
730,1037,571,endpt,3.1622777
732,1038,1488,endpt,5.0990195
733,1038,1541,endpt,2.0
734,1039,1317,endpt,1.0
735,1040,1759,endpt,2.0
736,1041,931,endpt,4.1231055
737,1041,1265,endpt,2.0
742,1044,842,endpt,3.1622777
743,1044,1448,junction,11.045361
746,1046,940,endpt,2.828427
747,1046,1303,endpt,2.0
750,1047,1226,endpt,2.828427
751,1047,1361,endpt,13.601471
752,1048,1131,endpt,1.0
753,1048,1365,junction,15.264338
754,1050,1640,endpt,3.0
755,1051,470,endpt,4.0
756,1051,1218,endpt,2.0
757,1052,1123,endpt,1.0
759,1052,1524,endpt,2.0
760,1054,446,endpt,3.0
761,1054,1295,endpt,3.0
762,1055,694,endpt,4.1231055
763,1058,697,endpt,2.828427
764,1058,1173,endpt,5.0
765,1058,1208,endpt,4.1231055
766,1058,1232,endpt,4.0
767,1058,1482,endpt,5.3851647
768,1064,1019,endpt,5.0
769,1064,1481,endpt,3.1622777
770,1064,1507,endpt,7.0
771,1065,1400,junction,16.03122
772,1066,1530,endpt,3.6055512
773,1067,527,endpt,2.0
774,1067,532,endpt,3.0
775,1067,859,endpt,3.1622777
776,1067,864,endpt,2.0
777,1067,1439,junction,6.3245554
778,1067,1612,endpt,4.472136
780,1070,879,endpt,3.0
781,1070,1049,endpt,4.472136
782,1071,475,endpt,2.828427
784,1071,1178,endpt,4.0
785,1072,1221,endpt,6.708204
786,1075,1508,endpt,5.8309517
787,1077,1308,junction,12.0
788,1078,809,endpt,4.1231055
789,1078,1364,junction,8.944272
790,1079,1142,endpt,4.0
793,1080,924,endpt,5.8309517
794,1080,1447,endpt,5.8309517
795,1082,613,endpt,4.472136
796,1083,943,endpt,2.828427
797,1083,1295,junction,9.0
799,1086,543,endpt,3.1622777
800,1086,947,endpt,2.828427
801,1086,1254,endpt,5.0
802,1086,1337,junction,8.944272
804,1087,1143,endpt,4.0
806,1087,1398,junction,15.033297
808,1091,589,endpt,2.236068
809,1091,639,endpt,3.1622777
810,1091,1414,endpt,3.6055512
811,1093,184,endpt,2.828427
813,1093,1206,endpt,2.236068
815,1094,498,endpt,3.1622777
818,1095,1433,endpt,2.828427
819,1096,555,endpt,2.0
820,1096,1246,junction,7.28011
821,1096,1305,endpt,2.0
822,1096,1383,junction,16.155495
824,1096,1455,endpt,4.0
825,1097,341,endpt,2.0
827,1098,1034,junction,5.3851647
830,1100,1083,endpt,2.236068
831,1101,1283,endpt,2.0
832,1102,180,endpt,1.0
833,1103,272,endpt,2.828427
835,1103,930,endpt,4.1231055
836,1106,1245,junction,8.0
837,1107,234,endpt,2.236068
838,1107,1337,junction,7.071068
839,1107,1513,endpt,8.0
841,1108,614,endpt,2.0
842,1109,225,endpt,4.0
844,1109,888,endpt,5.0
845,1109,913,endpt,2.828427
846,1110,1342,endpt,5.8309517
848,1112,1465,endpt,4.1231055
849,1113,844,endpt,4.1231055
850,1113,1374,junction,8.062258
851,1114,1616,endpt,2.0
853,1117,682,endpt,2.828427
856,1117,1059,junction,12.165525
858,1120,1106,endpt,9.0
859,1120,1354,endpt,4.0
860,1121,684,endpt,2.828427
861,1124,413,endpt,1.0
862,1125,1306,junction,15.033297
865,1129,1644,endpt,3.1622777
866,1130,411,endpt,1.4142135
867,1130,572,endpt,2.0
868,1130,1184,endpt,3.6055512
869,1130,1300,junction,10.0
870,1130,1387,junction,7.0
873,1132,1154,junction,9.0
874,1133,493,endpt,9.486833
875,1133,1083,junction,7.0
876,1134,1191,endpt,2.0
880,1136,1263,junction,18.110771
881,1137,736,endpt,2.236068
882,1137,811,endpt,8.062258
883,1138,905,endpt,9.0
884,1138,972,endpt,10.198039
885,1138,1611,endpt,3.0
886,1139,975,junction,12.083046
888,1139,1031,endpt,2.0
889,1139,1384,endpt,8.062258
891,1140,513,endpt,5.0990195
892,1140,916,junction,13.038404
894,1141,630,endpt,5.0
897,1142,189,endpt,3.1622777
898,1142,719,endpt,5.0
899,1142,944,endpt,4.1231055
900,1143,224,endpt,2.0
901,1143,454,endpt,2.828427
902,1143,732,junction,5.0
905,1144,981,junction,9.433981
907,1144,1203,endpt,8.0
908,1145,414,endpt,4.0
910,1146,185,endpt,3.0
911,1147,223,endpt,2.828427
912,1147,237,endpt,4.1231055
913,1147,924,junction,15.231546
915,1147,1322,junction,10.0
917,1148,1014,junction,7.2111025
920,1148,1348,endpt,10.29563
921,1150,239,endpt,4.0
922,1150,1342,junction,14.142136
923,1151,633,endpt,7.0
924,1151,1283,junction,13.152946
926,1151,1439,endpt,6.3245554
927,1152,181,endpt,2.0
928,1152,675,endpt,3.1622777
930,1156,366,endpt,3.6055512
932,1158,677,junction,6.3245554
933,1158,680,endpt,5.0
934,1158,745,endpt,3.1622777
935,1159,176,endpt,5.0
936,1159,1416,endpt,4.472136
937,1161,984,endpt,1.0
938,1161,1288,junction,13.892444
939,1163,1178,endpt,6.3245554
940,1164,573,endpt,1.0
941,1167,199,endpt,4.0
942,1168,403,endpt,3.1622777
943,1170,1046,junction,9.0
945,1171,750,endpt,4.0
946,1171,974,endpt,2.828427
948,1172,621,endpt,2.0
949,1172,947,endpt,1.0
950,1174,675,endpt,3.0
951,1176,619,endpt,2.0
952,1176,951,junction,4.0
953,1176,1393,endpt,8.0
956,1179,399,endpt,2.0
957,1180,247,endpt,2.0
958,1180,705,endpt,3.0
959,1180,1394,endpt,8.0
960,1181,812,junction,15.297058
961,1181,1345,junction,7.0
962,1182,442,endpt,3.0
963,1182,526,endpt,3.0
968,1183,577,endpt,3.1622777
969,1184,971,junction,9.055386
970,1186,713,junction,7.0
971,1186,745,junction,10.770329
974,1188,929,junction,8.246211
976,1189,234,endpt,3.6055512
978,1189,1318,endpt,3.1622777
979,1189,1354,endpt,3.0
980,1190,1339,endpt,5.0
981,1191,196,endpt,4.472136
982,1191,444,endpt,2.0
983,1192,1126,junction,10.0
985,1192,1282,endpt,12.529964
986,1196,980,junction,17.088007
987,1197,603,endpt,2.0
988,1197,1024,endpt,3.1622777
989,1197,1049,junction,9.486833
992,1199,236,endpt,5.0
993,1199,675,endpt,4.472136
994,1200,1165,endpt,6.0
995,1200,1462,endpt,6.0
996,1202,206,endpt,1.4142135
997,1202,919,junction,8.062258
998,1204,1041,junction,9.219544
999,1204,1066,endpt,4.0
1000,1206,790,junction,9.486833
1001,1207,777,junction,10.0
1006,1208,1198,junction,19.104973
1007,1209,673,junction,9.0
1008,1210,458,endpt,2.0
1009,1211,309,endpt,3.0
1011,1211,463,endpt,2.0
1012,1213,1224,junction,14.3178215
1013,1213,1414,endpt,3.0
1015,1216,808,junction,9.055386
1016,1217,485,endpt,3.0
1017,1219,200,endpt,4.1231055
1018,1219,864,endpt,9.0
1019,1221,1073,endpt,8.602325
1020,1222,1310,junction,6.4031243
1022,1222,1327,endpt,8.062258
1023,1223,205,endpt,2.828427
1025,1225,368,endpt,4.0
1026,1226,499,endpt,4.0
1027,1227,533,endpt,2.0
1028,1227,921,junction,10.770329
1031,1229,272,endpt,2.236068
1033,1231,1013,junction,10.198039
1035,1231,1048,junction,13.416408
1039,1232,1307,endpt,5.0
1040,1233,228,endpt,2.828427
1041,1233,1065,junction,13.928389
1044,1234,1384,endpt,5.0
1045,1235,1059,junction,15.0
1046,1236,980,junction,9.0
1047,1238,206,endpt,2.828427
1048,1241,253,endpt,2.0
1049,1241,800,endpt,4.1231055
1050,1241,994,junction,9.486833
1051,1243,267,endpt,2.236068
1052,1244,1086,endpt,1.0
1053,1245,274,endpt,3.1622777
1054,1245,1285,endpt,5.0
1055,1246,310,endpt,4.1231055
1056,1246,970,endpt,1.0
1057,1248,1276,endpt,3.6055512
1058,1251,307,endpt,4.1231055
1059,1251,924,endpt,6.0827627
1060,1252,510,endpt,4.0
1061,1253,960,endpt,2.828427
1062,1254,1222,endpt,3.1622777
1063,1256,784,endpt,4.0
1064,1256,988,endpt,1.0
1065,1257,661,endpt,6.3245554
1066,1257,1213,endpt,4.1231055
1067,1258,438,endpt,5.8309517
1068,1259,615,endpt,5.0990195
1070,1260,581,endpt,5.0
1071,1260,756,endpt,7.0
1072,1261,846,endpt,10.440307
1073,1261,961,endpt,1.4142135
1074,1263,1250,endpt,7.0
1075,1265,258,endpt,3.6055512
1076,1266,379,endpt,3.1622777
1077,1266,527,endpt,5.8309517
1078,1267,1078,endpt,3.0
1079,1269,445,endpt,5.0
1080,1269,1172,endpt,7.071068
1081,1270,1119,endpt,7.615773
1082,1271,382,endpt,3.0
1083,1271,981,endpt,7.0
1084,1273,417,endpt,2.236068
1085,1275,848,endpt,9.0
1086,1277,585,endpt,4.1231055
1087,1277,724,endpt,6.3245554
1088,1278,798,endpt,5.0
1089,1278,935,endpt,5.8309517
1090,1278,996,endpt,6.0
1091,1280,890,endpt,6.0
1093,1281,335,endpt,1.0
1095,1282,1083,endpt,3.0
1096,1283,253,endpt,2.0
1097,1285,333,endpt,2.0
1098,1285,1087,endpt,4.2426405
1099,1286,260,endpt,2.828427
1100,1288,1252,endpt,2.828427
1101,1289,244,endpt,4.0
1102,1289,261,endpt,2.0
1103,1289,350,endpt,2.828427
1104,1290,546,endpt,2.828427
1106,1291,289,endpt,4.0
1107,1291,699,endpt,1.4142135
1108,1291,749,endpt,2.236068
1109,1291,753,endpt,3.0
1110,1292,304,endpt,2.828427
1111,1293,737,endpt,3.0
1112,1298,1129,endpt,2.236068
1114,1299,636,endpt,3.6055512
1115,1302,343,endpt,2.0
1117,1309,353,endpt,5.3851647
1118,1309,632,endpt,5.0
1119,1310,433,endpt,2.0
1120,1310,437,endpt,3.0
1121,1311,384,endpt,4.0
1122,1311,509,endpt,5.0
1123,1311,671,endpt,7.0
1124,1312,568,endpt,4.1231055
1125,1313,353,endpt,6.0
1126,1315,386,endpt,4.0
1127,1315,481,endpt,4.0
1128,1316,572,endpt,5.3851647
1129,1317,317,endpt,3.0
1130,1318,603,endpt,4.472136
1131,1319,470,endpt,5.0990195
1132,1321,600,endpt,5.0
1133,1330,314,endpt,3.6055512
1134,1334,541,endpt,2.0
1135,1339,436,endpt,2.828427
1136,1339,469,endpt,4.1231055
1137,1343,477,endpt,3.0
1138,1344,433,endpt,4.0
1139,1352,495,endpt,2.0
1140,1352,534,endpt,2.0
1141,1353,517,endpt,4.0
1142,1357,503,endpt,1.4142135
1143,1363,488,endpt,2.0
