,x,y,type,weight
534,667,1301,endpt,2.0
535,670,1265,endpt,4.472136
536,672,1232,endpt,2.828427
537,673,1358,junction,6.3245554
540,675,1189,endpt,2.828427
542,676,1343,endpt,5.0
543,678,1347,junction,7.0
544,678,1411,junction,12.0
545,682,1203,endpt,4.0
546,682,1236,endpt,5.656854
547,682,1280,endpt,5.0
548,682,1376,junction,7.2111025
549,686,1346,endpt,4.1231055
550,689,1379,junction,9.0
551,690,1194,endpt,2.236068
552,693,1398,junction,7.615773
553,694,1204,endpt,2.236068
554,694,1431,endpt,4.0
555,698,1333,endpt,2.828427
556,703,1304,endpt,1.4142135
557,704,1371,junction,10.770329
560,709,1384,endpt,7.0
561,712,1376,junction,11.7046995
562,712,1481,endpt,1.4142135
563,713,1265,endpt,3.0
564,715,1285,endpt,3.6055512
565,715,1405,junction,8.944272
568,717,1376,junction,10.198039
569,718,1194,endpt,2.0
570,719,1401,junction,6.708204
571,719,1480,endpt,3.1622777
574,721,1338,endpt,4.472136
575,722,1430,endpt,1.0
576,724,1201,endpt,2.828427
578,724,1218,endpt,1.4142135
579,725,1241,endpt,1.4142135
580,726,1424,junction,4.1231055
581,727,1218,endpt,2.0
582,727,1451,endpt,6.3245554
583,728,1249,endpt,1.0
584,729,1287,endpt,2.828427
585,730,1371,junction,9.0
586,734,1340,endpt,4.1231055
587,735,1385,endpt,1.0
588,736,1402,junction,6.4031243
589,737,1462,endpt,6.708204
590,742,1392,endpt,3.1622777
591,745,1293,endpt,2.0
593,756,1197,endpt,4.0
595,758,1306,endpt,4.1231055
596,765,1305,endpt,2.0
597,766,1441,endpt,3.6055512
598,767,1356,endpt,5.8309517
599,771,1207,endpt,2.0
601,772,1366,endpt,1.0
602,776,1234,endpt,3.1622777
603,776,1375,endpt,2.0
605,779,1230,endpt,3.0
606,779,1393,endpt,3.0
607,779,1436,endpt,5.0990195
609,780,1475,junction,6.708204
611,783,1281,endpt,1.0
612,783,1421,endpt,3.0
613,784,1347,endpt,3.6055512
615,787,1376,endpt,2.0
617,790,1399,endpt,2.236068
618,792,1254,endpt,2.0
619,792,1292,endpt,1.0
620,792,1356,endpt,4.1231055
621,796,1492,endpt,3.0
622,797,1485,junction,5.0
625,799,1438,endpt,6.3245554
626,803,1395,endpt,5.0
627,803,1471,endpt,2.828427
628,807,1482,junction,6.3245554
631,811,1490,endpt,3.1622777
632,814,1348,endpt,2.0
633,815,1447,endpt,3.0
634,816,1353,endpt,2.828427
635,817,1421,endpt,3.1622777
636,824,1321,endpt,2.236068
637,828,1315,endpt,2.236068
638,829,1404,endpt,5.0
640,832,1426,endpt,6.0
641,833,1385,endpt,4.472136
642,841,1427,endpt,3.0
643,842,1363,endpt,2.236068
644,842,1370,endpt,3.1622777
645,843,1322,endpt,3.0
646,844,1311,endpt,1.0
647,848,1474,endpt,4.1231055
648,849,1240,endpt,2.0
649,849,1243,endpt,2.0
650,851,1462,endpt,1.0
651,855,1269,endpt,2.828427
653,857,1464,junction,4.1231055
655,858,1435,endpt,4.472136
657,861,1329,endpt,2.828427
658,864,1396,endpt,4.0
659,864,1416,endpt,5.0
660,867,1463,endpt,1.0
661,868,1338,endpt,1.0
662,869,1370,endpt,2.0
663,871,1353,junction,4.0
664,871,1406,junction,7.071068
667,874,1366,junction,4.0
668,875,1346,endpt,1.0
669,879,1372,endpt,3.0
670,880,1453,endpt,3.6055512
671,881,1407,endpt,3.1622777
672,882,1447,junction,4.0
675,884,1297,endpt,3.0
676,885,1273,endpt,3.6055512
677,888,1305,endpt,1.0
678,888,1445,endpt,2.0
679,889,1232,endpt,3.6055512
680,894,1463,endpt,3.0
681,896,1355,endpt,2.0
683,897,1461,endpt,4.0
684,901,1234,endpt,3.1622777
685,905,1408,endpt,3.0
686,905,1445,endpt,3.0
687,906,1434,endpt,2.236068
688,913,1275,endpt,4.0
689,917,1315,endpt,1.0
690,920,1309,endpt,2.0
691,921,1187,endpt,3.0
692,925,1276,endpt,3.6055512
693,926,1295,endpt,1.4142135
694,929,1171,endpt,6.0
695,931,1261,endpt,2.828427
696,937,1398,endpt,4.472136
697,941,1178,endpt,2.0
699,943,1309,endpt,1.0
700,945,1369,endpt,2.0
701,949,1432,endpt,3.6055512
702,951,1353,endpt,2.236068
704,955,1387,junction,5.0
705,961,1293,endpt,3.0
706,963,1288,endpt,3.0
707,965,1327,endpt,2.236068
709,969,1399,endpt,3.0
711,970,1307,endpt,2.828427
712,971,1224,endpt,2.236068
713,972,1425,endpt,6.0827627
714,976,1306,endpt,5.0
715,976,1392,endpt,1.4142135
716,977,1225,endpt,2.0
717,980,1285,endpt,3.6055512
719,984,1350,endpt,4.1231055
721,987,1269,endpt,2.828427
722,989,1313,endpt,1.0
723,992,1021,endpt,2.236068
724,993,1319,endpt,2.0
725,994,1053,endpt,3.6055512
727,994,1273,endpt,2.0
728,995,1421,endpt,4.0
729,996,1210,endpt,3.0
730,997,1409,endpt,3.0
731,1000,960,endpt,2.0
733,1002,1272,endpt,2.0
735,1004,1223,endpt,3.0
736,1005,1196,endpt,2.828427
737,1005,1283,endpt,4.0
738,1008,964,endpt,3.6055512
739,1008,1384,endpt,1.0
740,1010,1241,endpt,2.0
741,1011,1003,endpt,2.0
742,1011,1386,junction,1.0
745,1014,1061,endpt,3.6055512
746,1014,1070,endpt,3.0
747,1014,1382,endpt,1.4142135
748,1015,1389,endpt,1.0
749,1016,1241,junction,3.6055512
750,1018,1277,endpt,1.0
751,1018,1287,junction,6.4031243
752,1018,1322,endpt,2.828427
753,1019,1015,endpt,3.1622777
754,1019,1235,endpt,2.0
755,1020,1176,endpt,3.1622777
756,1021,1131,endpt,2.236068
757,1022,957,endpt,2.828427
759,1022,1199,endpt,2.828427
760,1022,1263,endpt,6.3245554
761,1023,1052,endpt,2.0
762,1024,1126,endpt,3.1622777
763,1025,1199,endpt,2.828427
764,1026,437,endpt,4.0
765,1026,805,endpt,3.6055512
766,1026,1302,endpt,2.236068
768,1028,1173,endpt,3.6055512
769,1028,1219,endpt,4.1231055
770,1029,958,endpt,2.0
771,1030,1318,endpt,1.0
772,1032,956,endpt,2.0
773,1032,1285,endpt,3.0
774,1034,1359,endpt,6.0
775,1036,1114,endpt,4.0
776,1036,1117,endpt,3.0
777,1037,991,endpt,3.6055512
778,1039,529,endpt,2.0
779,1039,1315,endpt,2.236068
781,1041,953,endpt,3.0
782,1042,1302,endpt,1.0
783,1043,864,endpt,1.4142135
784,1043,1353,endpt,2.0
785,1044,1326,endpt,3.6055512
787,1046,960,endpt,2.0
788,1047,863,endpt,2.0
789,1048,1007,endpt,4.1231055
790,1048,1173,endpt,4.1231055
791,1049,1254,endpt,5.0
792,1052,1170,endpt,3.0
793,1052,1272,endpt,3.1622777
794,1054,797,endpt,1.0
795,1055,1073,endpt,1.0
796,1055,1112,endpt,2.0
797,1056,525,endpt,5.656854
798,1056,811,endpt,1.0
799,1056,936,endpt,2.236068
800,1056,1080,endpt,2.236068
801,1057,695,endpt,3.0
803,1058,1100,endpt,2.0
804,1058,1193,endpt,5.0
805,1059,1119,endpt,2.0
806,1060,973,endpt,4.0
807,1061,924,endpt,3.0
808,1061,1139,endpt,3.0
810,1063,1045,endpt,2.0
812,1064,1094,endpt,2.828427
813,1064,1199,endpt,5.8309517
814,1065,1023,endpt,1.4142135
815,1065,1297,endpt,2.828427
816,1066,945,junction,6.0
817,1067,915,junction,5.0
818,1067,962,junction,5.0
819,1067,995,endpt,3.0
820,1068,1187,endpt,2.0
821,1069,905,junction,6.3245554
823,1069,1023,endpt,1.4142135
824,1070,726,endpt,3.6055512
826,1070,1181,endpt,2.0
828,1071,991,junction,5.0
829,1071,1220,endpt,1.0
830,1071,1320,endpt,2.236068
831,1072,753,endpt,3.1622777
832,1073,886,endpt,2.236068
833,1073,1023,endpt,1.4142135
835,1074,1269,endpt,5.0
836,1075,961,endpt,2.0
837,1076,1333,endpt,2.0
838,1076,1338,endpt,1.0
839,1077,577,endpt,3.6055512
840,1079,1219,endpt,1.0
841,1080,979,junction,4.0
842,1081,993,junction,5.656854
843,1081,1142,endpt,5.8309517
845,1082,996,endpt,5.0
846,1082,1159,junction,3.6055512
848,1082,1235,endpt,5.0
849,1083,921,junction,9.433981
851,1083,1059,endpt,2.0
853,1084,468,endpt,3.0
854,1084,499,endpt,2.0
855,1084,614,endpt,3.0
858,1084,1094,endpt,2.828427
859,1085,987,junction,4.0
860,1086,439,endpt,2.236068
861,1087,455,endpt,3.0
862,1087,1144,junction,8.944272
863,1087,1147,junction,7.615773
865,1088,925,junction,12.165525
866,1088,934,junction,10.198039
867,1088,1058,endpt,1.0
869,1089,494,endpt,1.0
870,1089,893,endpt,3.1622777
873,1089,1103,endpt,1.4142135
875,1089,1238,junction,7.071068
877,1090,634,endpt,2.0
